,Nombre visible Agente,AGENTE (OFEI),"CENTRAL (dDEC, dSEGDES, dPRU…)","Tipo de central (Hidro, Termo, Filo, Menor)",C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20,C_21,C_22,C_23,C_24
0,EMGESA,EMGESA S.A.,BETANIA,H,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
1,EMGESA,EMGESA S.A.,BETANIA,H,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
2,EMGESA,EMGESA S.A.,BETANIA,H,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
6,EMGESA,EMGESA S.A.,ELQUIMBO,H,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
7,EMGESA,EMGESA S.A.,ELQUIMBO,H,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
8,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0
9,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0
10,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0
11,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0
12,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0
13,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
14,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
15,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
16,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
17,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
18,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
