location,vendor,lat,lon,bathrooms,parking_lots,num_bedrooms,m2,final_price,price_square_meter,ZIP,Calle,Ciudad
"Sinaloa 20 , Roma Sur, Roma Sur, Cuauhtémoc, Distrito Federal",Investemx,19.4213173,-99.1641821,2.0,2,2.0,127.0,9000000.0,70866.14173228346,06700,insurgentes y Monterrey,Ciudad de México
"Tonala, Roma Norte, Cuauhtémoc, Distrito Federal",Avitana,19.4210293,-99.1635414,1.0,1,1.0,54.0,4264000.0,78962.96296296296,06700,Tonalá,Ciudad de México
"Tepeji 43, Roma Sur, Ciudad De México, Cdmx, México, Roma Sur, Cuauhtémoc, Distrito Federal",Ebranuncios,19.4078138,-99.1618723,3.0,2,3.0,163.0,8093500.0,49653.37423312884,06760,Tepeji,Ciudad de México
"Linares, Roma Sur, Cuauhtémoc, Distrito Federal",Houm,19.404992,-99.1602428,2.0,1,2.0,93.0,4000000.0,43010.75268817204,06760,Linares,Ciudad de México
"Frontera, Roma Norte, Cuauhtémoc, Distrito Federal",Contactobienesraicesgold,19.4196927,-99.1560364,2.0,1,2.0,103.0,6732700.0,65366.01941747573,06700,Frontera,Ciudad de México
"Chilpancingo, Roma Sur, Cuauhtémoc, Distrito Federal",Lidialopeza ,19.4030201,-99.1687004,1.0,1,2.0,67.0,3200000.0,47761.19402985075,06760,Calle Chilpancingo,Ciudad de México
"Sinaloa 20 , Roma Norte, Cuauhtémoc, Distrito Federal",Investemx,19.4213173,-99.1641821,2.0,2,2.0,127.0,9000000.0,70866.14173228346,06700,insurgentes y Monterrey,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Neximo,19.4111979,-99.1649286,2.0,1,2.0,112.0,5550000.0,49553.57142857143,06700,Coahuila,Ciudad de México
"Colima, Roma Norte, Cuauhtémoc, Distrito Federal",Houm,19.4210727,-99.1557975,2.0,2,3.0,154.0,10592361.0,68781.56493506493,06700,Colima,Ciudad de México
"Cuauhtemoc, Roma Norte, Cuauhtémoc, Distrito Federal",Balinter,19.4193053,-99.1538106,2.0,2,2.0,100.0,5300000.0,53000.0,06720,Ciudad de México,Ciudad de México
"Roma Sur, Cuauhtémoc, Distrito Federal",Incitybienesraices,19.4043698,-99.1636062,2.0,2,3.0,163.0,10200000.0,62576.68711656442,06760,Calle Monclova,Ciudad de México
