edad,sueldo,experiencia,a�os_empleo,etiqueta,pais
21,38271,12,1,C,Estados Unidos
53,95558,9,7,A,Estados Unidos
60,41494,7,5,C,Urugay
64,39885,7,3,A,Canada
64,44813,2,7,C,Canada
61,86924,10,9,A,Peru
45,56810,2,7,B,Mexico
32,61599,5,9,C,Peru
44,41159,2,8,B,Urugay
55,,13,1,B,Peru
54,71455,13,4,B,Canada
64,75739,14,7,C,Argentina
35,63397,3,5,C,Mexico
37,81717,10,9,C,Mexico
27,73408,2,6,C,Canada
24,35156,7,3,A,Estados Unidos
55,79983,6,3,C,Estados Unidos
21,71830,2,9,A,Peru
21,60678,9,2,A,Canada
47,78059,12,8,A,Urugay
29,84205,6,9,C,Mexico
59,35557,14,1,B,Peru
24,63043,11,5,A,Mexico
38,31271,11,1,A,Urugay
21,74604,13,1,B,Urugay
26,,4,1,B,Estados Unidos
21,42263,2,5,C,Urugay
52,60962,2,0,C,Peru
55,99958,14,1,B,Argentina
38,66113,7,4,B,Estados Unidos
62,34629,2,1,B,Canada
33,73897,2,4,A,Estados Unidos
44,40227,3,4,A,Urugay
30,89972,8,4,C,Peru
59,45594,6,8,A,Mexico
59,80234,14,7,A,Argentina
43,67121,12,9,A,Mexico
59,33866,9,4,A,Argentina
55,74420,10,1,C,Mexico
63,87426,12,1,B,Canada
63,61146,11,6,B,Urugay
62,65125,9,8,B,Urugay
59,38150,14,9,C,Mexico
35,40380,7,4,A,Argentina
31,70151,4,6,A,Canada
49,79853,14,7,A,Estados Unidos
38,45097,4,2,A,Urugay
33,,7,6,B,Argentina
55,58684,5,,C,Urugay
27,55119,4,2,B,Argentina
29,69985,1,7,A,Argentina
26,85935,1,4,C,Mexico
48,28819,8,6,A,Urugay
61,89415,13,2,B,Canada
53,77860,7,1,C,Estados Unidos
52,80514,2,1,A,Mexico
46,76694,9,1,A,Argentina
39,83323,2,2,B,Argentina
27,77201,1,6,A,Argentina
62,64879,9,8,A,Peru
63,39546,14,5,B,Mexico
27,41309,2,2,A,Argentina
62,33889,11,1,B,Estados Unidos
48,49448,8,8,C,Estados Unidos
64,41475,1,9,B,Estados Unidos
25,62352,12,4,A,Peru
22,68818,6,8,C,Estados Unidos
40,54596,1,5,B,Urugay
24,32154,5,7,A,Canada
52,71244,1,9,A,Urugay
